sample_id	Status	batch
GSM997630	0	3
GSM997631	0	3
GSM997632	0	3
GSM997633	0	3
GSM997634	0	3
GSM997635	0	3
GSM997636	1	3
GSM997637	1	3
GSM997638	1	3
GSM997640	1	3
GSM997641	1	3
GSM997642	1	3
GSM997643	1	3
GSM997644	1	3
GSM997645	1	3
GSM997646	1	3
GSM997647	1	3
GSM997648	1	3
GSM997649	1	3
GSM997650	1	3
GSM997651	1	3
GSM997652	1	3
GSM997653	1	3
GSM997654	1	3
GSM997655	1	3
GSM997656	1	3
GSM997657	1	3
GSM997658	1	3
GSM997659	1	3
GSM997660	1	3
GSM997661	1	3
GSM997662	1	3
GSM997663	1	3
GSM997664	1	3
GSM997665	1	3
GSM997666	1	3
GSM997667	1	3
