gene_id	GSM898301	GSM898302	GSM898303	GSM898304	GSM898306	GSM898307	GSM898308
A1CF	4.05671268660745	4.30923430872838	4.2854695893815	3.8296945333735	4.71546226202925	4.46944376815854	4.72295607062338
A2M	9.96109247874304	10.2439509585243	10.1704815034267	10.5155725515867	9.92094381873911	8.82804683697134	9.43789790114957
A4GALT	6.46130722992028	6.39305006350833	6.21417087674013	6.04009898829088	5.92656658857451	5.50581914638237	5.76319766141142
A4GNT	3.61784451497405	3.26625843004692	3.71827894285464	3.33591516736713	3.33186486883516	3.18363970004737	3.48944122589709
AAAS	7.55913108951281	7.56829254066102	7.60938514404853	7.32206109284131	6.94324662290336	6.94702042606647	7.17807800338298
AACS	7.97882185812907	8.03541539755702	7.51122606546653	7.45867358731207	6.91641449845001	6.7368735142993	6.83013937322206
AADAC	6.25578236523585	4.79511250485692	4.64859320409048	5.35085820580878	3.8098842717126	5.71376923756825	3.87759229337788
AAGAB	7.52925567836768	8.20177716013636	7.29659591762502	7.55226084872712	6.2537502766439	6.59058026694968	6.23285911312946
AAK1	9.4560564818895	9.54601023512461	9.82049574412817	9.73712926267795	8.6809066393492	8.66155869672068	9.0215724225495
AAMDC	7.99193919631041	8.29793969594174	7.68415115307205	7.84407358290462	7.84299958479778	7.78592794449393	8.01908254031722
AAMP	8.7031527584119	8.48383692420177	8.36770538351295	8.3260206018339	8.52128234893785	8.27303995596117	8.27144523294953
AANAT	3.33264284730057	3.39255002034399	3.34919099723113	3.31243656403795	3.49254554646681	3.33814229796616	3.27398891312754
AAR2	8.32860366461425	7.91821634334962	7.91573582590758	7.96017144639024	7.8955255403868	7.55334573367818	7.62669093193412
AARS	8.70972007258801	8.81151913602272	8.90004482534738	8.81063630609948	8.39984595129634	8.37659350003862	8.25422130245066
AARSD1	7.28337641728314	6.89069478140217	6.83521459136927	6.37575364683872	7.60861834571049	7.45367591156299	7.3757771323213
AASDHPPT	6.42307880131418	7.54188482004836	6.34361206013732	7.34426207000035	7.53393425208753	7.45394454891084	7.20948487383014
AASS	3.3676633292362	3.43250518939808	3.89595388205247	3.70706837661012	6.63226154046362	6.38817413751561	6.33133064923233
AATF	8.61922302142409	8.50298050282162	8.30871630025288	8.03143606244483	7.93780274634202	8.13826779506282	7.90465507396213
AATK	6.09219370508998	5.7341101196428	6.08718597504032	5.92522245955462	5.53074620688108	5.31672052127215	5.472305038628
ABAT	6.95837452626057	6.36948444846214	6.7187457808678	6.93376731804025	6.56023297631752	7.29801320582656	7.18513190964921
ABCA1	6.73127931619595	6.82987028317603	7.6235252586255	7.80953356287976	7.76326917393974	8.20983485318729	8.30370832841207
ABCA11P	5.29042368551945	4.84867970404175	5.55149380624238	5.01953396166643	6.66664402645288	6.79639160203243	7.24819181898526
ABCA12	2.96997633290452	2.88267855570715	2.90704696949393	3.07318795360805	2.89974310614239	2.87935204347641	2.96117576734158
ABCA2	6.50796008029767	6.05352751616141	5.70378101533052	5.87307129452662	5.61391388479772	5.23179851532666	5.80502389903978
ABCA3	7.31217328129211	6.62386534366041	6.37812236233247	6.20055327799798	5.72182381882637	5.90928282034868	5.9706709521567
ABCA4	5.27386107310319	5.11365434863861	5.25015319187914	5.40196299458363	4.9133784782482	4.8509469735272	4.81496596865852
ABCA5	3.42599942808639	3.76120055333135	3.59262867726351	3.67901099471284	6.59592022220069	5.80194374136223	5.15588186898909
