gene_id	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_S5_Slot1_7_1_8641	Clinspect_E_coli_A_S7_Slot1_24_1_8673	Clinspect_E_coli_A_S14_Slot1_11_1_8645	Clinspect_E_coli_A_S20_Slot1_20_1_8669	Clinspect_E_coli_A_S23_Slot1_8_1_8642	Clinspect_E_coli_A_S29_Slot1_19_1_8667	Clinspect_E_coli_A_S34_Slot1_18_1_8666	Clinspect_E_coli_A_S39_Slot1_26_1_8675	Clinspect_E_coli_A_S42_Slot1_21_1_8670	Clinspect_E_coli_A_S47_Slot1_14_1_8648	Clinspect_E_coli_B_S53_Slot1_22_1_8671	Clinspect_E_coli_B_S58_Slot1_5_1_8639	Clinspect_E_coli_B_S62_Slot1_16_1_8664	Clinspect_E_coli_B_S66_Slot1_13_1_8647	Clinspect_E_coli_B_S78_Slot1_17_1_8665	Clinspect_E_coli_B_S85_Slot1_12_1_8646	Clinspect_E_coli_B_S86_Slot1_4_1_8638	Clinspect_E_coli_B_S91_Slot1_25_1_8674	Clinspect_E_coli_B_S98_Slot1_9_1_8643	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	S20230516_EXPL1_LiSc_SA_S610_RT_25_s2	S20230516_EXPL1_LiSc_SA_S610_RT_26_s9	S20230516_EXPL1_LiSc_SA_S610_RT_27_s12	S20230516_EXPL1_LiSc_SA_S610_RT_28_s17	S20230516_EXPL1_LiSc_SA_S610_RT_29_s24	S20230516_EXPL1_LiSc_SA_S610_RT_30_s30	S20230516_EXPL1_LiSc_SA_S610_RT_31_s33	S20230516_EXPL1_LiSc_SA_S610_RT_32_s38	S20230516_EXPL1_LiSc_SA_S610_RT_33_s44	S20230516_EXPL1_LiSc_SA_S610_RT_34_s48	S20230516_EXPL1_LiSc_SA_S610_RT_35_s51	S20230516_EXPL1_LiSc_SA_S610_RT_36_s56	S20230516_EXPL1_LiSc_SA_S610_RT_37_s63	S20230516_EXPL1_LiSc_SA_S610_RT_38_s68	S20230516_EXPL1_LiSc_SA_S610_RT_39_s72	S20230516_EXPL1_LiSc_SA_S610_RT_40_s80	S20230516_EXPL1_LiSc_SA_S610_RT_41_s81	S20230516_EXPL1_LiSc_SA_S610_RT_42_s89	S20230516_EXPL1_LiSc_SA_S610_RT_43_s92	S20230516_EXPL1_LiSc_SA_S610_RT_44_s96	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P00350	25.4304225658729	25.3652049594027	25.3231341164245	25.3500121934072	25.246146848979	25.3752483513024	25.3611655865296	24.9099424738818	25.424748422221	25.3546505563815	25.4980864862433	25.5464106982758	25.6467347917633	25.4759855907139	25.6447920164383	25.5791405584039	25.5419174075821	25.5526772607281	25.58842666795	25.5550891822095	25.3304096971207	25.3097205549739	25.3693157275025	25.3761417523549	25.4008296481884	25.4313077212642	25.3352196773677	25.4000687103782	25.3894845745518	25.3819732430581	25.5502193081629	25.6482045006687	25.5700136191178	25.4001896953873	25.1705452078028	25.5699265929081	25.5513845583866	25.4927239812639	25.4943989059767	25.3249974762708	25.3240792810451	25.432533741806	25.2640432261069	25.3709788811063	25.3312204740179	25.1716438028537	25.4283770422793	25.2479593086084	25.4999926758454	25.5439051197873	25.6678077962375	25.5801793933694	25.5952591105016	25.4768404941487	25.6089522099715	25.5994563873089	25.4650987850996	25.5087422220756	25.4650258685737	25.3191056797163	25.4294785751861	25.2816903643201	25.3916344536768	25.4604679244146	25.3483635384578	25.1298825411044	25.2530497911197	25.4486571848529	25.4358569620805	25.5343507684192	25.5385365203252	25.5699944339031	25.5349096603139	25.4145988419972	25.5673796084898	25.5655285790918	25.5724600912631	25.4926314831179	25.416499402839	25.1565996444763	25.4423270833162	25.2419213352387	25.2080811432802	25.0937193196721	25.2187018118285	25.4972533666954	25.4669407893159	25.2347816505001	25.5556180092387	25.6472480174338	25.5324650186992	25.5927123124629	25.6064591260811	25.5884828981532	25.5319450451086	25.5651501768563	25.5624540719028	25.5813877881089
P00363	23.4493160403396	23.3874603160303	22.9631997337737	23.3286472703113	23.5757237593764	23.3082051981195	23.1952406395261	22.6313649249029	23.2957538271943	23.4520500464265	23.3749514050244	23.1621622547387	23.2530790268943	23.3910480025572	23.083952770069	23.2630426322222	23.2158466047752	23.420861616783	23.2300932431672	23.1665510629554	23.2170851321494	23.5465580454979	23.1977579300911	23.6887288706746	23.387077762571	23.2289222423655	23.002117218091	23.4573724922995	23.4097902939578	23.5631051319328	23.3406133465033	23.0327268460617	23.1902025438874	22.9411119437844	22.8747676416601	23.3948658017286	23.2994648350265	23.0151398951545	23.2213746202596	23.3892532965893	23.3928043676871	23.4253326897392	22.7767548310479	23.8992317447594	23.3445208947276	22.8777406901141	23.6901368478164	23.1580437149705	23.0167509865182	23.0611146577674	23.2789917766578	23.1840028186587	23.2187124575633	23.1751037565505	23.2697031437834	23.2563048444291	23.2371828322886	23.1030171351983	23.708545824639	23.1565512086086	23.5239239270888	23.2274798058175	23.1518280503833	23.7540826958233	23.0401330444758	22.9053116704121	23.0962414751431	23.7474334332257	23.0076115192833	23.0811603498278	23.0898040538387	23.183092270004	23.1883261384149	23.1410819045248	23.1610418631992	23.0961744971035	23.4117914805183	23.4764559354868	23.6284096317579	23.0804867230825	23.3893376126119	23.4984489911487	22.9038776752251	23.0445549982346	23.1272455214824	23.719451971554	23.8394119381677	23.3853572452304	23.2156722418068	23.1274913683468	22.9214406556153	23.1303768325028	23.3517302455261	23.1237789397823	23.1552691384711	23.175802021403	23.2662133504738	23.0701946897151
P00370	24.3222368340188	24.3190278279259	24.1924124065545	24.2838866185822	24.3364012606908	24.1425621096266	24.150777874769	23.5269937035887	24.2188682311689	24.1488249155035	24.9263236008361	24.8763350351769	24.8617787560678	24.4821690045864	24.7570157216087	24.8267641732312	24.9517385456598	25.0807857192298	24.5008861696295	24.8824291265	24.2657972881402	24.2896043831465	24.1385459596286	24.4429561729202	24.2253385554323	24.3253141070656	24.348139479086	24.3204007937177	24.1997791423429	24.3857734540994	24.9145774885055	24.8322737804164	24.9328249186054	24.4140774160128	24.2744389659802	24.8586334253957	24.790155655535	24.5723097615413	24.5771916528165	24.3800090742782	24.2208001918384	24.18295961051	24.345554190225	24.8069208492582	24.287381877742	24.0940505189449	24.5369828205438	24.0438622850846	24.3570558848151	24.4906649781192	24.6744059711766	24.8655450211828	24.8007238162792	24.772692636958	24.8390616843118	24.7881980937553	24.5851490822513	24.464095346958	24.5434847040642	23.9467887860808	24.3216751097544	24.1693337450663	24.2204318134104	24.5609790324785	24.0236650049619	24.159620462591	24.0838459412909	24.6338840776245	24.4696293660328	24.529522719439	24.7220644894731	24.4739882134558	24.6834982737957	24.695875260709	24.8405566499658	24.6647427369708	25.0995473183235	24.9784508355116	24.4974325623126	23.845148370987	24.291700167858	24.2716962326459	23.950237379541	24.0577683742119	24.0819551116563	24.6236938231716	24.7206184993034	24.4047234745495	24.7249470486207	24.7782367831952	24.6479245776767	24.5571123773655	24.7773401415982	24.7659074136771	24.6695988452549	24.7558192822143	24.8553766481107	24.5574686183542
P00393	22.5242528212241	22.6771297892349	22.7425579727989	22.5091749016757	22.1873117218325	22.6036781886743	22.6403416508245	22.0837133817252	22.7137789052612	22.5441545781358	22.6643429207519	22.7135632665746	22.62186536035	22.4617872863823	22.7092657016778	22.6287780054307	22.7499616351491	22.7915234505869	22.5532860259357	22.7291158745993	22.4751004190534	22.5996577727347	22.4751732357091	22.4361136947604	22.7675254354779	22.5300425116247	22.6695885711645	22.6462680982021	22.4227593041132	22.3695466385041	22.6080459599375	22.7186805869893	22.6820472627561	22.7384046531551	22.4264757385342	22.6926517038296	22.5365288763438	22.6524958370138	22.746278714996	22.462431208967	22.430450813206	22.8224324029446	22.6502097774371	22.5218311875389	22.4901288282371	22.6151524005445	22.6450239453215	22.5333620341752	22.3372351953647	22.5688391457871	22.5843872119123	22.8133597910876	22.7145926647392	22.650341877423	22.669478154373	22.7676582453496	22.5397221400289	22.5004456553192	22.4420840254715	22.7673693565605	22.4663956475333	22.8388136396557	22.6390818467615	22.4363892499192	22.7267128548526	22.6955495733698	22.6091518814766	22.3436505562228	22.6085673308689	22.5075187210346	22.4732920086912	22.4836426547035	22.6295958679507	22.4464629683341	22.6187622682994	22.6677891329076	22.6654869799096	22.7844540632133	22.6483637585714	22.3086441575756	22.7593984160548	22.38109460488	22.758721553652	22.3497312261365	22.3850028607051	22.6506870425781	22.4932684475273	22.257991158018	22.7141422299433	22.5308162719358	22.7721106153782	22.5756572692959	22.6193121984541	22.7292316140992	22.7803623554818	22.6989583539371	22.6306538147069	22.812784298061
P00448	24.9498701688607	24.6548127753426	25.6110495448543	25.4413309411272	25.0335388008487	25.2902489647198	25.0140195950064	25.7031133407816	25.3813933850276	25.5069394208174	24.4914489806293	24.3522622467856	24.6233778293749	24.5979371887981	24.6960524779711	24.8785827765998	24.5946077999133	24.4304772468733	24.7401028510625	24.5977558702789	25.0822909216866	24.6460317890745	25.4741905253249	25.3325427749918	25.2587664615497	24.7674110998	24.9404928432316	25.0109265772448	25.3774876973655	25.3693677293119	24.8760833323196	24.7992722084552	24.5727855954376	24.6994825148348	24.620707654402	24.8168851466071	25.0088845023816	24.8281447739532	24.569903292456	25.2261755718095	25.2054708872529	25.2813911796297	25.7325014497645	24.6799035851769	25.5079089085511	25.625775407616	24.7073151424857	25.6347701666851	24.5824016349161	24.531518652065	24.6781532833326	24.6015225748422	24.8271193411409	24.3521164545583	24.6848539624338	24.672037570593	24.5255285221668	24.2417280942086	25.0910229524662	25.4946049760764	25.4933643094033	25.3387946327048	25.4457790788339	24.7802377971106	25.5995468447966	25.7738057325648	25.6969376777012	24.8344405895267	24.6364850760097	24.6776306851944	24.9000812000783	24.2529826801203	24.4275627540047	24.2128516991071	24.4652898426457	24.6814352963847	24.579443287769	24.1498464164172	24.8199433319967	25.9622141312143	25.4595402619605	25.3682518953523	25.6600377434322	25.6058112792858	25.5779881970554	24.9806821410786	25.0434632083465	25.331198099377	24.3644509181654	24.5018263435294	24.4337995591363	24.5343012124492	24.1617211964494	24.6239123953071	24.4164626552338	24.6788742760338	24.3453393321503	24.7222156094323
P00452	22.823229771026	23.0225721366998	23.0727891098505	22.7145814627763	22.3854143507804	22.8352546515748	22.9216260148151	22.316284962781	23.0317739267554	22.7957030406337	22.7940782920733	22.8436450889727	22.847382808538	22.4259125647589	22.9481433387701	22.744715603717	22.8905039950905	22.8548325964309	22.666771579939	22.8505214580809	22.9100874705397	22.7716060776976	23.0075658561918	22.898197515133	22.684337694371	22.9534321683847	22.8714200565669	22.7751281839004	22.9781122525516	22.7600999718822	22.7975096222747	22.9950765764965	22.7225845291651	22.3898302416601	22.2304878800486	22.9393353553773	22.8002809242442	22.7777306174207	22.7623522007448	22.7385406992978	22.8780343405996	22.9483540669588	22.9955749093742	22.6063854308939	22.754770447543	23.0631361951541	23.018340865613	22.8837794561711	22.3322575573468	22.6169872441111	22.6677592264057	22.8693963797682	22.9665503082718	23.0683291028459	22.7590403822927	22.7782734502512	22.4569720887135	22.5258367474892	22.7361994694705	23.1560255345412	22.6875225915049	23.0026292960318	22.9925686831416	22.6699615840197	23.1025137522299	23.0981524837877	22.9113830552515	22.8128486910398	22.7959332943445	22.682460478686	22.3272644561717	22.8719830499882	22.6562253692642	22.5596951398402	22.6758742962081	22.6543928661578	22.6803172624182	22.69811887048	22.8229390109517	22.3963612141901	23.0057816210336	22.6574107090481	22.9690481077369	22.5153479536373	22.5746274171069	23.0490330207098	22.7884403581164	22.4256935326069	22.856936573601	22.8536158062173	22.7543280072466	22.9602950249209	22.9019382425187	22.8425886153101	22.7695888265748	22.9024656727172	22.8993268015103	22.8720200433866
P00490	22.2362157267836	22.2850561217414	22.5457659851066	22.3507400948147	22.035417335813	22.3228478782478	22.2796467928347	21.7899965986287	22.3892251597839	22.3329007176495	23.040235658295	22.9940099056055	23.0244548757745	22.8546696891587	22.9734714831475	23.1102847253276	23.0689663995963	23.0898759687788	23.0268911514494	23.112682022163	22.1697531572834	22.3148526572745	22.2570761565786	22.0409702456209	22.2829293574953	22.3280964726112	22.3528573548062	22.3969587698291	22.2549248790105	22.0623586142271	22.9693741514083	23.0319992376198	22.8875731864177	22.8384414879323	22.9374700255305	23.2006989181295	23.1811534747396	23.0940198656658	23.2141353572862	21.9978089919548	22.0119876327254	22.2709219478658	22.3425998417273	22.1867286745174	22.1296127549988	22.3164350598689	22.3535809721521	22.2379959384861	22.8224109947493	23.0584883302867	23.0377082884101	23.1237544971376	23.0106969569291	23.2387413376909	23.1566142910104	23.1238986234811	22.9834643027069	23.1749791779717	22.0899779795211	22.4744926596814	22.1982251014253	22.3943782738482	22.4347658880044	22.0188418471359	22.4483228342598	22.4237006127552	22.4253780523821	22.0834165022682	22.9684922177888	22.918520450488	22.7009000395339	22.9409567293037	22.9729968359169	23.0136700869747	23.0724346520485	23.0895332546775	23.0852435341865	23.0683883215358	22.210392958575	21.9924406451308	22.3995697066394	22.1537004206875	22.5366037990767	22.3795966482935	22.2343226498066	22.2985125852958	22.1694245380764	22.3122897249416	22.8851756526751	22.9124760390517	22.9532689388536	22.8582377581437	23.0067703737984	23.0464269113776	23.1004693320559	23.253129216415	23.0693816193066	23.0913432950453
P00509	24.8982104584266	25.1987200840071	25.1620691166281	24.9669773113237	24.6963383390631	24.9823379804055	25.1553780297502	24.7050988495958	25.1688417158143	24.9734826934177	24.7501136870173	24.8805002912359	24.9327469460026	24.7489193997489	25.0196509261592	24.8309487889393	24.9993327423567	24.8765387236654	24.7687559351854	24.9420201886778	24.944067224046	24.9698024033899	25.0988817174643	25.1557248751483	24.9581250330633	25.0455262855057	25.137076653976	24.9641243465117	25.0852537472048	24.9125211532789	24.8389939996999	24.9064013703114	24.9924222399643	24.6601665524825	24.4638300370223	24.9451956931005	24.9230569203744	24.8674032664859	24.8882274927112	24.8540737059171	24.9237686406717	25.1729328141883	24.9969388922868	25.1704291503126	25.0392970207853	25.0028814466176	24.9763624031573	24.9169057747356	24.6344682128643	24.7630948224611	25.0405822271036	24.9110048338521	24.9736961632422	24.8770627568356	25.0021961006133	24.9496186349107	24.7738629753815	24.7004784051607	24.7541521112904	25.2475089675325	25.0266525990831	25.200357591075	25.1226376240433	24.8485173388766	25.1413524564401	24.8744660674481	24.8863333578884	24.7501132993735	24.8732338523095	24.8370162755292	24.9085919929146	24.9081006083243	24.8710739715233	24.8831716707374	24.9618250437859	24.9202760703541	24.8383764234644	24.7895923678503	25.11938456496	24.6643474023587	25.2006322141201	24.908578810274	25.021920862333	24.7754790625977	24.7533596327127	25.1722778537117	24.9477152445603	24.7600560130952	24.9153305004702	24.9660094887721	24.8490739237638	25.0437259755191	24.952994244742	24.98808926388	24.875289430331	24.9178085387244	24.8980165383656	24.9077490949335
P00547	24.1918894941705	23.9633840645425	24.4107449131425	24.3914552171231	24.3544108695961	24.1521953339607	24.2847787177573	24.3729951352236	24.2120184648507	24.3622527457871	24.0743880549963	24.0486162545213	24.0208783177832	23.9196118175928	24.0119667102202	24.0567738594614	24.023676285394	24.0377647237559	23.9294015466227	23.9620131828585	24.1220715792254	24.2366346481928	24.3839467545066	24.2826591486833	24.1456108305819	24.3764060624327	24.7020783824641	24.1765189943792	24.3307914678311	24.2866869771916	24.0566365302323	24.0320527339035	24.0172111649027	23.8648694110931	23.8162598834483	24.0688649412646	24.0966303082439	23.8214813198663	23.9799245240205	24.1904695943815	24.1761776017072	24.2442335053536	24.1645420383751	24.3701738738706	24.336879419727	24.2926340852379	24.4477316054061	24.175113065648	24.1976400544112	24.12541085045	24.0315583524019	23.8631925906863	23.9359213873794	23.9103243285164	23.9440993311567	23.9013582216753	24.01997164876	24.1214802255164	24.438711252041	24.2814667108727	24.3310582732533	24.1942806522861	24.4245627895217	24.5776289352377	24.4376419080777	24.3700650116419	24.1871090351132	24.5861190083628	23.8489487327797	23.790723133147	24.0692945332037	23.8668035554052	23.8352635735544	23.8850668069648	23.7943056815265	23.9987558704419	23.9821209154067	23.8455415247209	24.1847119060415	24.4271444144173	24.2845358205546	24.5196747037729	24.4760951618159	24.4719164590746	24.4942315658256	24.307587441275	24.5039166171089	24.5580723685574	23.8077521951793	23.9073908717368	23.8863987469316	23.8051416437916	23.8261199020379	23.9174461902809	23.8367023670226	23.9270170582329	23.846224499373	23.7749552468289
P00550	21.7355007311664	21.7734571594324	21.8996935756299	21.8419678364318	21.7165675876994	21.8348753200609	21.6587028052162	21.1767725745359	21.7713853473854	21.8295034861979	21.4667411843883	21.5360709912072	21.5050984752448	21.5054012113835	21.5513867568299	21.5477059710756	21.5207092806197	21.4695293617844	21.5546347713128	21.5421908955205	21.5914068904108	21.7132788555448	21.8623294340889	21.6773891611494	21.8135357680062	21.6864057753645	21.730077352107	21.868064424684	21.6992248807205	21.63874171113	21.3475012939701	21.5556279816415	21.3414841885451	21.4866295785305	21.4835736184968	21.4392109485349	21.6126714260328	21.7271179923904	21.6713527266112	21.5454895162088	21.7002888068855	21.7957143804766	21.8693332395534	21.9488876407682	21.7486563046339	21.7310534617589	21.8996657396244	21.8331275312074	21.0953996390988	21.4849862162547	21.4894514735914	21.6334574197788	21.5930410617882	21.481870242358	21.5625022027466	21.5011124064532	21.3615658298254	21.3662188537293	21.6824623494485	21.8922875105788	21.5493483137989	21.9895369438028	21.9008904647542	21.6151174867604	21.8821219031676	22.0210514494481	22.0456848884665	21.6006867901922	21.4997137067803	21.503001366152	21.2905219263645	21.389370515567	21.4327157772743	21.4222727731702	21.5534487907011	21.4329171837717	21.3381178900921	21.3647100148767	21.7929703619048	22.0678397204356	21.9621681155353	21.861508457763	21.9584883660486	22.0340324163755	21.8402381214884	21.7245303263353	21.7197754158011	21.8245378131906	21.3084703752418	21.2314313113674	21.3698560544237	21.4299709788114	21.4647498190473	21.3462519621849	21.3433138983762	21.4358152085045	21.3613374681303	21.386327154315
